company_id,company_name,reg_address,location,incorporation_date,email,phone_number,authorized_capital,status
23BHLPX0675U1ZK,Vindhya Buildcon Pvt Ltd,"Suite 101, Diamond Trade Centre, Indore",Ujjain,2019-08-27,info@vindhya.com,+91-7394215307,1000000,Active
23GCUTX7252Q1ZO,Satpura Projects Pvt Ltd,"Suite 101, Diamond Trade Centre, Indore",Jabalpur,2015-10-28,info@satpura.com,+91-8005379505,1000000,Active
23EBVUR8571N1ZQ,Vindhya Construct Pvt Ltd,"Suite 101, Diamond Trade Centre, Indore",Gwalior,2020-06-06,info@vindhya.com,+91-8382948417,5000000,Active
23JQWVX6607H1ZH,MP Construct Pvt Ltd,"Plot 87, Arera Colony, Bhopal",Sagar,2020-05-13,contact3@centralinfra.in,+91-9425012345,500000,Active
23VOFVB0527C1ZQ,MP Infrastructure Pvt Ltd,"Plot 40, Arera Colony, Bhopal",Dewas,2017-03-21,contact4@centralinfra.in,+91-9425012345,1000000,Active
23QCQLI7319D1ZE,Elite Associates Pvt Ltd,"Plot 61, Arera Colony, Bhopal",Gwalior,2019-02-04,contact5@centralinfra.in,+91-9425012345,500000,Active
23HPBMX6358C1Z7,Elite Construct Pvt Ltd,"Sector A, Bhopal",Bhopal,2014-12-13,admin@eliteconstructpvtltd.in,+91-8679643886,500000,Active
23DELMW4809B1Z1,Elite Associates Pvt Ltd,"Sector A, Jabalpur",Jabalpur,2019-04-28,admin@eliteassociatespvtltd.in,+91-9407863364,1000000,Active
23YPVKY2861S1ZW,MP Associates Pvt Ltd,"Sector A, Sagar",Sagar,2021-04-28,admin@mpassociatespvtltd.in,+91-7402991206,1000000,Active
23BOFJU5100M1ZB,Satpura Enterprises Pvt Ltd,"Sector C, Satna",Satna,2016-08-02,admin@satpuraenterprisespvtltd.in,+91-8693659708,100000,Active
23DPYRC3452D1ZQ,Satpura Infrastructure Pvt Ltd,"Sector C, Ujjain",Ujjain,2021-01-16,admin@satpurainfrastructurepvtltd.in,+91-7740461105,1000000,Active
23PDGDK6977A1ZU,Bhoj Infrastructure Pvt Ltd,"Sector A, Satna",Satna,2015-06-27,admin@bhojinfrastructurepvtltd.in,+91-9014997014,500000,Active
23VDMQA0851M1ZD,Narmada Buildcon Pvt Ltd,"Sector C, Jabalpur",Jabalpur,2016-01-13,admin@narmadabuildconpvtltd.in,+91-7182108676,500000,Active
23LXBQY7227X1Z8,Malwa Associates Pvt Ltd,"Sector A, Jabalpur",Jabalpur,2020-12-27,admin@malwaassociatespvtltd.in,+91-9792187416,500000,Active
23HDNIY2528O1ZL,Narmada Buildcon Pvt Ltd,"Sector A, Bhopal",Bhopal,2017-08-14,admin@narmadabuildconpvtltd.in,+91-9204355511,100000,Active
23YOMST4756B1ZO,MP Construct Pvt Ltd,"Sector C, Sagar",Sagar,2019-02-07,admin@mpconstructpvtltd.in,+91-7911692493,500000,Active
23KITVH0400W1Z6,MP Enterprises Pvt Ltd,"Sector C, Satna",Satna,2019-03-21,admin@mpenterprisespvtltd.in,+91-9884523669,1000000,Active
23GHTDC2902L1Z8,Elite Projects Pvt Ltd,"Sector C, Sagar",Sagar,2017-11-19,admin@eliteprojectspvtltd.in,+91-7091856697,5000000,Active
23KQHIR2558J1ZC,Narmada Infrastructure Pvt Ltd,"Sector B, Jabalpur",Jabalpur,2022-03-19,admin@narmadainfrastructurepvtltd.in,+91-9596286958,500000,Active
23RGDHF6029E1ZE,Apex Infrastructure Pvt Ltd,"Sector B, Ratlam",Ratlam,2022-07-27,admin@apexinfrastructurepvtltd.in,+91-8151616966,1000000,Active
23QGUHB3773T1ZT,Narmada Associates Pvt Ltd,"Sector B, Ujjain",Ujjain,2020-07-01,admin@narmadaassociatespvtltd.in,+91-8735828684,1000000,Active
23FEZMC0634J1ZE,Elite Enterprises Pvt Ltd,"Sector C, Rewa",Rewa,2017-11-30,admin@eliteenterprisespvtltd.in,+91-7132080596,1000000,Active
23NZKGM9894E1ZZ,Apex Enterprises Pvt Ltd,"Sector B, Indore",Indore,2018-08-05,admin@apexenterprisespvtltd.in,+91-7078423487,500000,Active
