tender_id,requirement_text,is_mandatory,restrictiveness_score
UADD-2024-001,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
MPMKVV-2024-001,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PHED-2024-001,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PWD-2024-001,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
PHED-2024-002,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PWD-2024-002,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
WRD-2024-001,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
UADD-2024-002,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPRDC-2024-001,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPMKVV-2024-002,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
PWD-2024-003,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
UADD-2024-003,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
PWD-2024-004,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
PWD-2024-005,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPMKVV-2024-003,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPMKVV-2024-004,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
PHED-2024-003,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPRDC-2024-002,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
UADD-2024-004,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
MPMKVV-2024-005,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPMKVV-2024-006,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPRDC-2024-003,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
MPMKVV-2024-007,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
MPRDC-2024-004,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PWD-2024-006,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
MPRDC-2024-005,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
WRD-2024-002,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPRDC-2024-006,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
MPRDC-2024-007,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPMKVV-2024-008,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
WRD-2024-003,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
PHED-2024-004,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
PHED-2024-005,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
WRD-2024-004,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
WRD-2024-005,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
PWD-2024-007,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
PHED-2024-006,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
MPMKVV-2024-009,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
PWD-2024-008,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
WRD-2024-006,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
MPRDC-2024-008,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PWD-2024-009,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
UADD-2024-005,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
WRD-2024-007,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
UADD-2024-006,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PHED-2024-007,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
UADD-2024-007,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
WRD-2024-008,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PHED-2024-008,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
MPMKVV-2024-010,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
